Id,Percentage in Operating Systems,Percentage in Algorithms,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Communication skills rating,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,Certifications 1,Certifications 2,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,worked in teams ever?,Introvert,Suggested Job Role
1,69,63,87,94,94,87,84,61,9,4,0,4,8,yes,yes,yes,shell programming,cloud computing,excellent,excellent,cloud computing,system developer,higherstudies,Web Services,Management,yes,no,Database Developer
2,78,62,60,71,70,73,84,91,12,7,1,2,3,yes,no,yes,machine learning,database security,poor,medium,networks,Business process analyst,job,SAaS services,Technical,no,yes,Portal Administrator
3,71,86,87,61,81,72,72,94,11,1,4,1,3,yes,no,yes,app development,web technologies,poor,excellent,hacking,developer,higherstudies,Sales and Marketing,Management,no,yes,Portal Administrator
4,76,87,84,89,73,62,88,69,7,1,1,2,5,no,yes,no,python,data science,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,Management,yes,yes,Systems Security Administrator
5,92,62,67,71,89,73,71,73,4,5,4,6,3,no,no,no,app development,cloud computing,poor,excellent,Computer Architecture,testing,higherstudies,product development,Management,yes,yes,Business Systems Analyst
6,88,86,79,93,84,69,71,82,11,5,3,8,1,yes,yes,no,python,database security,poor,medium,programming,system developer,job,Testing and Maintainance Services,Management,yes,no,Software Systems Engineer
7,93,77,79,90,93,73,63,77,6,3,2,3,3,no,no,yes,r programming,cloud computing,excellent,poor,parallel computing,security,job,BPA,Technical,yes,yes,Database Developer
8,84,72,62,66,63,78,94,60,12,2,1,6,6,yes,no,no,r programming,cloud computing,poor,excellent,parallel computing,developer,higherstudies,BPA,Technical,no,no,Business Intelligence Analyst
9,73,66,81,81,69,61,87,90,10,5,2,4,8,no,yes,no,information security,testing,poor,poor,IOT,developer,higherstudies,BPA,Technical,yes,yes,Business Systems Analyst
10,62,76,91,82,69,63,63,81,10,9,0,5,4,no,no,yes,app development,data science,excellent,poor,data engineering,Business process analyst,job,product development,Management,yes,no,CRM Technical Developer
11,73,80,83,61,82,75,94,89,8,6,2,3,9,yes,no,no,hadoop,database security,medium,poor,parallel computing,security,higherstudies,Sales and Marketing,Management,yes,yes,Mobile Applications Developer
12,63,76,90,70,72,86,89,85,8,3,6,9,7,no,yes,no,machine learning,hacking,medium,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,Management,yes,no,UX Designer
13,63,64,67,61,70,65,64,79,8,2,2,8,6,yes,no,yes,distro making,game development,medium,poor,cloud computing,system developer,higherstudies,Service Based,Technical,yes,no,CRM Technical Developer
14,68,93,60,77,81,67,81,91,12,5,3,6,5,no,no,yes,python,testing,poor,poor,parallel computing,developer,higherstudies,Testing and Maintainance Services,Management,yes,yes,Business Systems Analyst
15,90,83,71,65,67,86,63,62,9,6,2,3,8,yes,no,yes,machine learning,hacking,poor,poor,Software Engineering,security,job,Testing and Maintainance Services,Management,yes,no,Quality Assurance Associate
16,94,71,74,61,69,65,62,68,4,7,6,5,8,yes,yes,yes,information security,system designing,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,Technical,no,no,Web Developer
17,60,92,90,62,94,62,73,60,11,7,5,5,4,no,no,yes,app development,hacking,medium,medium,IOT,developer,job,Sales and Marketing,Technical,yes,yes,Web Developer
18,92,86,63,64,65,92,65,60,4,9,6,3,4,no,yes,no,hadoop,web technologies,medium,excellent,hacking,security,job,product development,Management,yes,no,Information Security Analyst
19,82,91,86,78,61,91,82,82,12,8,0,7,1,no,no,no,machine learning,testing,medium,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,Technical,yes,no,CRM Business Analyst
20,90,73,67,63,88,67,60,69,12,6,0,2,8,no,yes,no,hadoop,system designing,excellent,excellent,parallel computing,cloud computing,job,SAaS services,Management,no,no,Information Security Analyst
21,67,61,62,93,91,88,88,70,4,5,0,2,5,yes,yes,yes,app development,game development,medium,poor,parallel computing,security,higherstudies,Product based,Technical,yes,no,Database Developer
22,65,61,90,89,74,82,60,84,5,8,3,2,8,yes,yes,yes,hadoop,system designing,excellent,poor,hacking,security,higherstudies,BPA,Management,yes,yes,Business Systems Analyst
23,84,62,70,67,65,78,61,65,4,9,6,4,5,no,no,no,r programming,system designing,medium,excellent,cloud computing,system developer,job,BPA,Management,no,yes,Quality Assurance Associate
24,74,89,75,86,61,63,80,69,9,9,5,7,6,no,yes,yes,shell programming,testing,excellent,poor,data engineering,testing,job,Service Based,Management,no,no,Technical Support
25,92,67,92,69,90,80,77,66,4,7,5,5,1,yes,yes,no,full stack,testing,medium,poor,parallel computing,cloud computing,higherstudies,product development,Technical,no,yes,Technical Support
26,75,74,93,92,80,87,78,91,12,5,0,4,7,yes,yes,no,distro making,testing,medium,excellent,networks,developer,higherstudies,SAaS services,Technical,no,yes,Information Security Analyst
27,90,82,72,84,79,83,68,67,4,8,5,1,8,no,yes,no,python,database security,excellent,medium,programming,Business process analyst,higherstudies,SAaS services,Management,yes,no,Business Intelligence Analyst
28,71,60,79,78,93,90,76,75,12,9,1,3,5,yes,yes,yes,app development,data science,poor,excellent,parallel computing,security,job,Web Services,Technical,no,no,Project Manager
29,83,82,70,93,73,87,83,87,11,1,0,1,8,yes,no,yes,app development,testing,excellent,medium,cloud computing,cloud computing,higherstudies,BPA,Management,no,no,Information Technology Manager
30,83,68,90,85,75,90,92,85,4,3,1,2,6,yes,no,no,app development,testing,excellent,poor,networks,Business process analyst,higherstudies,Cloud Services,Management,yes,yes,Web Developer
31,89,88,78,87,63,75,71,90,4,2,3,9,8,no,yes,yes,python,data science,poor,medium,data engineering,Business process analyst,higherstudies,BPA,Technical,no,yes,Programmer Analyst
32,74,70,85,82,94,71,93,75,11,5,6,3,1,no,yes,no,full stack,game development,excellent,poor,cloud computing,testing,job,product development,Technical,no,no,Business Systems Analyst
33,80,85,64,86,62,78,87,87,7,7,4,7,5,yes,yes,no,shell programming,testing,excellent,excellent,data engineering,testing,job,Finance,Technical,no,no,Systems Security Administrator
34,70,67,82,77,72,87,68,65,10,9,0,2,5,no,yes,no,full stack,database security,excellent,poor,parallel computing,system developer,job,Finance,Management,no,no,Business Systems Analyst
35,76,63,85,61,76,65,87,76,11,8,4,2,9,yes,no,no,app development,web technologies,poor,excellent,data engineering,security,job,Product based,Technical,yes,no,Design & UX
36,66,74,85,68,69,86,83,80,9,8,6,2,9,no,yes,no,hadoop,hacking,excellent,excellent,Computer Architecture,testing,job,SAaS services,Technical,no,yes,Solutions Architect
37,83,83,82,61,77,89,82,78,11,3,6,9,5,no,no,yes,app development,system designing,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,Technical,no,yes,Business Systems Analyst
